[4.0758913  4.14620575 4.1566561  4.05897754]   [5.61076734 5.62860215 5.69649872 5.71286139]
[4.24127646 4.13147296 4.14249816 4.24453306]   [1.45448793 1.4488189  1.32283465 1.32407045]
[4.13147296 4.24127646 4.22556577 4.12044775]   [1.4488189  1.45448793 1.58321291 1.57480315]
[2.60609776 2.46874991 2.49797249 2.61986401]   [0.22899157 0.19751288 0.0938499  0.10056773]
[3.27526158 3.40754367 3.41965702 3.27670031]   [0.12943593 0.1312033  0.26556429 0.26627159]
[4.39532054 4.38511223 4.27559556 4.27861408]   [0.12193328 0.22766987 0.22405047 0.11419607]
[2.54103561 2.64126383 2.70394921 2.60692055]   [0.54672542 0.48470781 0.57899109 0.64373983]
[2.49797249 2.46874991 2.35360818 2.38071662]   [0.0938499  0.19751288 0.17360654 0.08111766]
[0.02362205 0.14788389 0.29199622 0.1496063 ]   [3.02748867 2.92292972 3.0089523  3.10136334]
[4.18301524 4.11023622 4.00107321 4.17102157]   [6.01230783 6.09069205 5.97447989 5.92359044]
[7.19838017 7.18570441 7.28028036 7.3333186 ]   [5.89434523 5.77249238 5.70789018 5.82610386]
[1.60601102 1.5156345  1.54844709 1.64997125]   [1.33057424 1.27938027 1.18174172 1.22159128]
[7.88363812 7.88328478 7.77050198 7.73019865]   [2.34218949 2.46773869 2.49128652 2.3624387 ]
[4.26851413 4.28505695 4.17743061 4.14216141]   [2.51335077 2.60539061 2.62682824 2.53310014]
[6.37585552 6.35440747 6.23442937 6.25577146]   [0.25471738 0.36183153 0.35103801 0.2426665 ]
[0.13144345 0.24133252 0.33908864 0.28742017]   [0.84386378 0.72753528 0.80989909 0.90776658]
[0.07438213 0.19080656 0.16553739 0.04366035]   [2.18435161 2.22327831 2.33905035 2.30639403]
[6.25577146 6.23442937 6.11672188 6.13361727]   [0.2426665  0.35103801 0.34052432 0.22901678]
[6.10042791 5.98578751 5.96160193 6.07624858]   [5.8895499  5.89540047 5.80224582 5.7855044 ]
[1.89152421 1.81334961 1.88093426 1.97332116]   [1.19685039 1.14089222 1.02453538 1.06605346]
[3.56692913 3.44094488 3.42023798 3.54977656]   [0.8411553  0.88353727 0.77803373 0.75893284]
[7.29918679 7.2240817  7.34869977 7.38292426]   [0.21747311 0.06922896 0.03134226 0.12229057]
[0.30200086 0.18030735 0.16563956 0.28334677]   [1.36959785 1.37926496 1.25576308 1.24505563]
[1.65260319 1.77774071 1.82089903 1.69983705]   [1.74629525 1.72033155 1.84776234 1.87680672]
[4.12260964 4.24221533 4.23119086 4.11369603]   [0.66800127 0.6913518  0.80867471 0.79004151]
[0.80701867 0.84674651 0.96979989 0.93024605]   [0.16414055 0.06081198 0.09554052 0.20769551]
[0.44350032 0.34820948 0.31911272 0.42426227]   [1.69675831 1.7234165  1.61623047 1.60037015]
[0.8269343  0.89412412 0.95917728 0.90551181]   [2.88161868 2.85507049 2.8776848  3.02245783]
[1.66141732 1.62247557 1.65462351 1.80623274]   [3.17707361 3.02660757 2.9250615  2.96231153]
[4.13039017 4.15025175 4.28150058 4.26719008]   [2.07489591 1.95124941 1.95387928 2.07336763]
[0.56502925 0.60108489 0.47432776 0.4350193 ]   [2.83820691 2.96271315 2.98865221 2.85675446]
[-0.03028461 -0.04731874  0.05963026  0.12043604]   [0.47643802 0.36233528 0.31554923 0.45853354]
[3.17099682 3.15164457 3.26802912 3.29604877]   [0.84056623 0.73612419 0.70348724 0.81507595]
[2.44982692 2.54103561 2.60692055 2.50667504]   [0.60495057 0.54672542 0.64373983 0.70587048]
[0.52755906 0.4015748  0.29199622 0.47432776]   [3.14049576 3.15786688 3.0089523  2.98865221]
[2.86873002 2.81102362 2.68503937 2.76820917]   [0.86628172 0.95745742 0.90484461 0.80923402]
[2.10560099 2.13686199 2.00489568 1.99268676]   [2.33070866 2.45669291 2.47941251 2.36655233]
[4.27861408 4.27559556 4.16390042 4.15906599]   [0.11419607 0.22405047 0.22415516 0.1129639 ]
